start_time,request_type,latency,response_code 
2021-03-03 15:17:54.236,POST,101,200
2021-03-03 15:17:54.338,POST,111,200
2021-03-03 15:17:54.449,POST,109,200
2021-03-03 15:17:54.558,POST,112,200
2021-03-03 15:17:54.67,POST,103,200
2021-03-03 15:17:54.773,POST,100,200
2021-03-03 15:17:54.873,POST,104,200
2021-03-03 15:17:54.977,POST,102,200
2021-03-03 15:17:55.079,POST,102,200
2021-03-03 15:17:55.181,POST,111,200
2021-03-03 15:17:55.292,POST,98,200
2021-03-03 15:17:55.39,POST,100,200
2021-03-03 15:17:55.49,POST,99,200
2021-03-03 15:17:55.589,POST,105,200
2021-03-03 15:17:55.694,POST,117,200
2021-03-03 15:17:55.811,POST,98,200
2021-03-03 15:17:55.909,POST,101,200
2021-03-03 15:17:56.01,POST,99,200
2021-03-03 15:17:56.109,POST,98,200
2021-03-03 15:17:56.207,POST,100,200
2021-03-03 15:17:56.307,POST,98,200
2021-03-03 15:17:56.405,POST,99,200
2021-03-03 15:17:56.504,POST,99,200
2021-03-03 15:17:56.603,POST,97,200
2021-03-03 15:17:56.7,POST,102,200
2021-03-03 15:17:56.802,POST,113,200
2021-03-03 15:17:56.915,POST,101,200
2021-03-03 15:17:57.016,POST,100,200
2021-03-03 15:17:57.116,POST,103,200
2021-03-03 15:17:57.219,POST,101,200
2021-03-03 15:17:57.32,POST,100,200
2021-03-03 15:17:57.42,POST,123,200
2021-03-03 15:17:57.543,POST,107,200
2021-03-03 15:17:57.65,POST,100,200
2021-03-03 15:17:57.75,POST,118,200
2021-03-03 15:17:57.868,POST,131,200
2021-03-03 15:17:57.999,POST,101,200
2021-03-03 15:17:58.1,POST,103,200
2021-03-03 15:17:58.203,POST,97,200
2021-03-03 15:17:58.3,POST,100,200
2021-03-03 15:17:58.4,POST,100,200
2021-03-03 15:17:58.5,POST,100,200
2021-03-03 15:17:58.6,POST,112,200
2021-03-03 15:17:58.712,POST,193,200
2021-03-03 15:17:58.905,POST,102,200
2021-03-03 15:17:59.007,POST,103,200
2021-03-03 15:17:59.11,POST,99,200
2021-03-03 15:17:59.209,POST,101,200
2021-03-03 15:17:59.31,POST,100,200
2021-03-03 15:17:59.41,POST,121,200
2021-03-03 15:17:59.531,POST,131,200
2021-03-03 15:17:59.662,POST,124,200
2021-03-03 15:17:59.786,POST,99,200
2021-03-03 15:17:59.885,POST,109,200
2021-03-03 15:17:59.994,POST,202,200
2021-03-03 15:18:00.196,POST,142,200
2021-03-03 15:18:00.338,POST,104,200
2021-03-03 15:18:00.442,POST,101,200
2021-03-03 15:18:00.543,POST,103,200
2021-03-03 15:18:00.646,POST,206,200
2021-03-03 15:18:00.852,POST,102,200
2021-03-03 15:18:00.954,POST,102,200
2021-03-03 15:18:01.056,POST,102,200
2021-03-03 15:18:01.158,POST,325,200
2021-03-03 15:18:01.483,POST,140,200
2021-03-03 15:18:01.623,POST,134,200
2021-03-03 15:18:01.757,POST,118,200
2021-03-03 15:18:01.875,POST,104,200
2021-03-03 15:18:01.979,POST,104,200
2021-03-03 15:18:02.083,POST,122,200
2021-03-03 15:18:02.205,POST,103,200
2021-03-03 15:18:02.308,POST,98,200
2021-03-03 15:18:02.406,POST,101,200
2021-03-03 15:18:02.507,POST,101,200
2021-03-03 15:18:02.608,POST,104,200
2021-03-03 15:18:02.712,POST,105,200
2021-03-03 15:18:02.818,POST,103,200
2021-03-03 15:18:02.921,POST,103,200
2021-03-03 15:18:03.024,POST,108,200
2021-03-03 15:18:03.132,POST,105,200
2021-03-03 15:18:03.238,POST,100,200
2021-03-03 15:18:03.338,POST,108,200
2021-03-03 15:18:03.446,POST,100,200
2021-03-03 15:18:03.546,POST,98,200
2021-03-03 15:18:03.644,POST,103,200
2021-03-03 15:18:03.747,POST,105,200
2021-03-03 15:18:03.852,POST,99,200
2021-03-03 15:18:03.951,POST,106,200
2021-03-03 15:18:04.057,POST,102,200
2021-03-03 15:18:04.16,POST,114,200
2021-03-03 15:18:04.274,POST,99,200
2021-03-03 15:18:04.373,POST,105,200
2021-03-03 15:18:04.478,POST,111,200
2021-03-03 15:18:04.589,POST,107,200
2021-03-03 15:18:04.696,POST,107,200
2021-03-03 15:18:04.803,POST,112,200
2021-03-03 15:18:04.915,POST,96,200
2021-03-03 15:18:05.011,POST,103,200
2021-03-03 15:18:05.114,POST,96,200
2021-03-03 15:18:05.21,POST,99,200
2021-03-03 15:18:05.309,POST,100,200
2021-03-03 15:18:05.409,POST,104,200
2021-03-03 15:18:05.513,POST,103,200
2021-03-03 15:18:05.616,POST,101,200
2021-03-03 15:18:05.717,POST,99,200
2021-03-03 15:18:05.816,POST,103,200
2021-03-03 15:18:05.919,POST,100,200
2021-03-03 15:18:06.019,POST,101,200
2021-03-03 15:18:06.12,POST,114,200
2021-03-03 15:18:06.234,POST,105,200
2021-03-03 15:18:06.339,POST,100,200
2021-03-03 15:18:06.439,POST,100,200
2021-03-03 15:18:06.539,POST,109,200
2021-03-03 15:18:06.648,POST,103,200
2021-03-03 15:18:06.751,POST,105,200
